		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2499.984375	M = 1280000	N = 8	m = 9	n = 10240000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 5999 5222 4757 5432 4494 5488 9634 5513 43947.222045 0.000000 FAILURE   0
000000011 3839 3626 3517 3717 3680 3623 5011 3672 6582.041510 0.000000 FAILURE   1
000000101 3794 3898 3661 4023 3588 3954 4809 3225 6806.641055 0.000000 FAILURE   2
000000111 3255 3245 3103 3093 3331 2943 3585 3058 1744.268116 0.000000 FAILURE   3
000001001 3421 3812 3522 4014 3459 3842 4200 2757 4792.419750 0.000000 FAILURE   4
000001011 3233 3030 2887 3005 2857 3062 3492 2736 1119.643851 0.000000 FAILURE   5
000001101 2701 2872 2936 3038 3150 2827 2584 2257 518.798908 0.000000 FAILURE   6
000001111 2464 2530 2439 2455 2467 2415 2425 2275 29.991590 0.000212 FAILURE   7
000010001 4335 4119 3679 4411 3428 4521 5961 3946 12431.095209 0.000000 FAILURE   8
000010011 2820 2886 2980 2929 3048 2933 3019 2671 600.885140 0.000000 FAILURE   9
000010101 2946 3270 3142 3195 3054 3446 3314 2801 1506.912402 0.000000 FAILURE  10
000010111 2708 2567 2480 2490 2586 2469 2392 2240 56.215274 0.000000 FAILURE  11
000011001 2838 2674 2786 2948 2904 2899 2997 2616 417.868620 0.000000 FAILURE  12
000011011 2130 2335 2479 2398 2642 2256 1760 1843 510.490519 0.000000 FAILURE  13
000011101 2472 2641 2592 2398 2916 2364 2229 2372 132.772255 0.000000 FAILURE  14
000011111 1763 1760 1742 1816 1728 1837 1465 1401 2253.861341 0.000000 FAILURE  15
000100011 2805 2749 2737 3055 2526 3189 3306 2903 747.525871 0.000000 FAILURE  16
000100101 2543 3108 2909 3393 2915 3103 2715 2354 802.531763 0.000000 FAILURE  17
000100111 2419 2344 2443 2402 2491 2414 2194 2311 74.701654 0.000000 FAILURE  18
000101001 2365 2942 2784 3017 2770 2971 2204 1999 494.385080 0.000000 FAILURE  19
000101011 2422 2535 2556 2489 2435 2771 2257 2393 65.670698 0.000000 FAILURE  20
000101101 2394 2386 2398 2379 2388 2370 2136 2242 114.911484 0.000000 FAILURE  21
000101111 1938 1892 1938 1933 1872 2061 1606 1602 1454.462630 0.000000 FAILURE  22
000110011 2795 2344 2511 2325 2536 2426 2720 3163 263.498422 0.000000 FAILURE  23
000110101 2386 2498 2472 2592 2448 2552 2242 2528 39.303060 0.000004 FAILURE  24
000110111 1955 2089 2204 2009 2346 2021 1541 1849 989.311199 0.000000 FAILURE  25
000111001 2275 2247 2318 2154 2399 2319 2210 2354 172.031225 0.000000 FAILURE  26
000111011 2304 2260 2300 1979 2660 2078 1818 2275 466.206436 0.000000 FAILURE  27
000111101 2091 2182 2050 1919 2083 2101 1847 2499 648.684400 0.000000 FAILURE  28
000111111 1415 1361 1409 1345 1387 1492 1054  967 4838.406595 0.000000 FAILURE  29
001000011 2795 3105 2988 3317 2980 3113 2647 2204 858.163886 0.000000 FAILURE  30
001000101 3471 3516 3057 3480 2722 3820 3940 3611 3452.882089 0.000000 FAILURE  31
001000111 2477 2383 2522 2600 2361 2688 2290 2382 56.839952 0.000000 FAILURE  32
001001011 2043 2303 2287 2522 2253 2485 1875 1801 510.508491 0.000000 FAILURE  33
001001101 2406 2491 2600 2510 2645 2449 2238 2479 46.223697 0.000000 FAILURE  34
001001111 1993 1805 1985 1961 1850 1957 1561 1956 1320.100203 0.000000 FAILURE  35
001010011 2231 2571 2424 2592 2551 2487 1885 2258 219.764765 0.000000 FAILURE  36
001010101 2719 3031 2869 2907 2548 2977 2918 3585 915.859421 0.000000 FAILURE  37
001010111 2150 2250 2391 2160 2312 2429 1811 2155 391.618483 0.000000 FAILURE  38
001011011 1969 2014 2205 2073 2127 2102 1481 1886 1034.455778 0.000000 FAILURE  39
001011101 2214 2205 2138 2100 2192 2126 1985 2519 397.234309 0.000000 FAILURE  40
001011111 1567 1445 1505 1423 1465 1557 1124 1137 4073.166960 0.000000 FAILURE  41
001100101 2485 2382 2510 2568 2459 2505 2335 2841 67.889197 0.000000 FAILURE  42
001100111 2892 2243 2445 1994 2485 2282 2618 3328 507.258558 0.000000 FAILURE  43
001101011 1970 2023 2193 2051 2188 2137 1730 2396 677.289943 0.000000 FAILURE  44
001101101 1772 1913 2064 1892 2145 1874 1452 2100 1328.249381 0.000000 FAILURE  45
001101111 1821 1732 1898 1627 1979 1746 1269 1627 2189.766323 0.000000 FAILURE  46
001110101 2044 1976 2179 1902 2169 2060 1734 2165 804.794144 0.000000 FAILURE  47
001110111 2438 2073 2062 1735 2413 1918 1900 2632 697.921410 0.000000 FAILURE  48
001111011 2028 1911 1935 1639 2022 1844 1728 2558 1194.990844 0.000000 FAILURE  49
001111101 1594 1375 1478 1451 1400 1499 1306 1899 3405.031306 0.000000 FAILURE  50
001111111 1308 1152 1189  997 1092 1213  935  928 6526.537620 0.000000 FAILURE  51
010000011 2578 2657 2798 2836 2679 2709 2542 2013 226.361252 0.000000 FAILURE  52
010000111 2288 2456 2402 2539 2459 2500 2060 1883 262.280883 0.000000 FAILURE  53
010001011 2660 2534 2292 2461 2086 2645 2662 2564 121.762496 0.000000 FAILURE  54
010001111 1944 1773 1879 1873 1719 2063 1664 2077 1363.278507 0.000000 FAILURE  55
010010011 2202 2229 2465 2299 2459 2287 2077 2164 224.530800 0.000000 FAILURE  56
010010111 1812 1889 1939 1852 2007 1976 1553 1710 1497.588442 0.000000 FAILURE  57
010011011 2132 2227 2181 2054 2368 2083 1878 2444 451.751862 0.000000 FAILURE  58
010011111 1632 1395 1560 1460 1502 1489 1168 1602 3532.550103 0.000000 FAILURE  59
010100011 1988 2108 2089 2129 1989 2263 1997 2375 541.250535 0.000000 FAILURE  60
010100111 1986 2028 2082 1984 2147 2112 1610 2226 856.506480 0.000000 FAILURE  61
010101011 2307 2369 2411 2234 2146 2349 2229 3108 299.662753 0.000000 FAILURE  62
010101111 1746 1697 1920 1663 1861 1820 1347 1914 1983.304508 0.000000 FAILURE  63
010110011 2450 2051 2061 1972 2212 2023 2184 2871 506.210987 0.000000 FAILURE  64
010110111 1968 1805 1931 1628 1897 1832 1466 2162 1590.100726 0.000000 FAILURE  65
010111011 2322 2106 2018 1756 2115 1952 1888 2658 753.298865 0.000000 FAILURE  66
010111111 1417 1216 1344 1200 1288 1266  965  972 5597.977187 0.000000 FAILURE  67
011000111 1606 1624 1890 1649 1878 1816 1332 1858 2190.260558 0.000000 FAILURE  68
011001111 2063 1698 1961 1519 1889 1735 1772 2544 1480.091838 0.000000 FAILURE  69
011010111 1666 1676 1807 1570 1846 1752 1460 2116 2042.110928 0.000000 FAILURE  70
011011111 1514 1376 1556 1251 1527 1352 1016 1308 4374.932481 0.000000 FAILURE  71
011101111 1880 1720 1748 1388 1840 1611 1362 1976 2312.869147 0.000000 FAILURE  72
011111111 1064  951 1000  874  889 1004  736  763 8405.975674 0.000000 FAILURE  73
100000000 5999 5222 4756 5432 4494 5488 9634 5513 43945.354836 0.000000 FAILURE  74
100010000 4012 4089 3730 4268 3554 4392 5671 3581 10494.277418 0.000000 FAILURE  75
100100000 3505 3782 3542 3837 3705 3622 4451 2706 5000.808030 0.000000 FAILURE  76
100101000 2392 2796 2674 2943 2450 2880 2479 2309 210.863671 0.000000 FAILURE  77
100110000 3380 3512 3310 3243 3544 3021 3517 3094 2381.224870 0.000000 FAILURE  78
100111000 2269 2265 2258 2152 2481 2239 1860 1747 551.619375 0.000000 FAILURE  79
101000000 3521 3954 3784 4059 3768 3877 4617 3264 6539.272638 0.000000 FAILURE  80
101000100 2889 3249 2967 3484 2806 3487 3517 3286 1910.943147 0.000000 FAILURE  81
101001000 2647 3041 3084 3379 3010 3143 2516 2365 877.171446 0.000000 FAILURE  82
101001100 2670 2752 2708 2649 2728 2580 2747 3349 412.964190 0.000000 FAILURE  83
101010000 2969 3278 3116 3341 2985 3199 3392 3086 1561.873352 0.000000 FAILURE  84
101010100 2741 2944 2667 2817 2438 2851 3047 3840 1078.014876 0.000000 FAILURE  85
101011000 2230 2417 2593 2566 2560 2437 1927 2010 276.687956 0.000000 FAILURE  86
101011100 2216 2231 2387 2091 2379 2371 2035 2465 240.688395 0.000000 FAILURE  87
101100000 3351 3268 3187 3209 3295 3167 3377 2824 1754.193274 0.000000 FAILURE  88
101100100 2444 2518 2537 2548 2476 2449 2387 2428 11.690706 0.165546 SUCCESS  89
101101000 2161 2305 2566 2459 2489 2418 1694 1788 547.102204 0.000000 FAILURE  90
101101100 1941 1983 2301 1996 2219 2033 1527 2035 965.359800 0.000000 FAILURE  91
101110000 2860 2833 2452 2464 2743 2796 2849 3074 348.406472 0.000000 FAILURE  92
101110100 2202 2312 2449 2315 2314 2340 1910 2595 239.242047 0.000000 FAILURE  93
101111000 1930 1845 2083 1986 2025 2139 1481 1868 1235.252610 0.000000 FAILURE  94
101111100 1580 1513 1661 1474 1703 1592 1097 1235 3560.300491 0.000000 FAILURE  95
110000000 4359 4038 3842 4184 3970 4109 5365 3863 10456.942805 0.000000 FAILURE  96
110000010 2884 3091 2849 2917 2854 3028 2916 2398 570.990171 0.000000 FAILURE  97
110000100 3300 3107 2893 3076 2943 3112 3492 3046 1385.110924 0.000000 FAILURE  98
110001000 2979 3027 2867 3005 2784 3333 3307 2741 985.061250 0.000000 FAILURE  99
110001010 2065 2507 2318 2314 2293 2557 1937 2007 357.074981 0.000000 FAILURE 100
110010000 2924 3079 3078 3127 3313 2970 3136 2315 1060.385384 0.000000 FAILURE 101
110010010 1845 1972 2078 2177 1986 2125 1746 1682 1089.182604 0.000000 FAILURE 102
110010100 2289 2397 2491 2527 2357 2465 2114 2389 98.842131 0.000000 FAILURE 103
110011000 2973 2658 2585 2365 2919 2453 2911 3152 432.769707 0.000000 FAILURE 104
110011010 2161 1932 1987 1984 2111 2014 2208 2816 636.956924 0.000000 FAILURE 105
110100000 2636 2980 3065 3069 3055 3016 2773 2379 643.537830 0.000000 FAILURE 106
110100010 2155 2287 2264 2323 2251 2485 2012 2236 257.105882 0.000000 FAILURE 107
110100100 2287 2432 2562 2672 2525 2433 1933 2179 212.261535 0.000000 FAILURE 108
110101000 2255 2364 2240 2380 2214 2320 2320 2654 136.861777 0.000000 FAILURE 109
110101010 2329 2282 2209 2144 2036 2223 2358 3363 556.521038 0.000000 FAILURE 110
110101100 1964 1945 2165 2046 2274 1897 1492 1979 1082.220943 0.000000 FAILURE 111
110110000 2781 2617 2588 2468 2873 2570 2480 2473 102.028697 0.000000 FAILURE 112
110110010 1999 1943 2053 1882 2144 1855 1655 2034 1082.662336 0.000000 FAILURE 113
110110100 1974 2125 2381 2138 2294 2173 1350 1837 1023.513239 0.000000 FAILURE 114
110111000 2515 2346 1988 1868 2236 2293 2192 2904 436.940672 0.000000 FAILURE 115
110111010 1949 1957 2024 1786 1938 1894 1804 2754 1061.944812 0.000000 FAILURE 116
110111100 1726 1618 1850 1576 1930 1661 1259 1733 2403.921417 0.000000 FAILURE 117
111000000 3250 3161 3070 3234 3296 3212 3369 2851 1606.198446 0.000000 FAILURE 118
111000010 2478 2329 2253 2315 2292 2456 2386 2593 79.344874 0.000000 FAILURE 119
111000100 2470 2511 2458 2417 2411 2598 2267 2033 123.935406 0.000000 FAILURE 120
111000110 1960 1894 2101 1845 2060 2053 1547 2106 1118.653777 0.000000 FAILURE 121
111001000 2444 2447 2558 2460 2686 2513 2186 2075 134.413046 0.000000 FAILURE 122
111001010 2100 2090 2250 1955 2003 2120 1783 2556 660.391371 0.000000 FAILURE 123
111001100 2663 2120 2245 1916 2295 2048 2375 2947 429.777779 0.000000 FAILURE 124
111010000 2358 2583 2699 2599 2633 2636 2054 2198 166.633762 0.000000 FAILURE 125
111010010 2042 2023 2221 2158 2144 2099 1606 2156 760.075288 0.000000 FAILURE 126
111010100 1897 1933 2019 1969 1944 1984 1812 2235 958.732736 0.000000 FAILURE 127
111010110 1715 1720 2001 1656 2013 1720 1203 1658 2243.493677 0.000000 FAILURE 128
111011000 2336 2131 2114 1816 2381 2004 1968 2147 598.935338 0.000000 FAILURE 129
111011010 1966 1943 2156 1820 2151 1837 1385 2041 1320.347708 0.000000 FAILURE 130
111011100 2449 2092 1821 1570 2055 1866 2105 3011 1039.324122 0.000000 FAILURE 131
111100000 2461 2371 2420 2464 2524 2474 2178 1951 178.800266 0.000000 FAILURE 132
111100010 1753 1706 1791 1759 1616 1894 1467 1418 2327.895765 0.000000 FAILURE 133
111100100 1732 1721 1852 1773 1879 1814 1341 1331 2362.842596 0.000000 FAILURE 134
111100110 1845 1585 1708 1530 1641 1637 1505 2022 2290.189046 0.000000 FAILURE 135
111101000 1755 1872 1950 1862 1948 2038 1378 1580 1771.710100 0.000000 FAILURE 136
111101010 1601 1541 1714 1555 1628 1617 1318 1885 2711.594137 0.000000 FAILURE 137
111101100 1760 1634 1650 1371 1744 1556 1461 1742 2652.566575 0.000000 FAILURE 138
111101110 1872 1594 1547 1202 1448 1530 1727 2605 2674.476439 0.000000 FAILURE 139
111110000 2100 1802 1869 1853 1958 1920 1547 1622 1561.057785 0.000000 FAILURE 140
111110010 1469 1375 1527 1377 1420 1447 1040 1222 4375.790688 0.000000 FAILURE 141
111110100 1536 1468 1588 1426 1499 1577 1098 1408 3720.026713 0.000000 FAILURE 142
111110110 1424 1277 1385 1143 1348 1247 1009 1228 5161.806676 0.000000 FAILURE 143
111111000 1646 1381 1453 1364 1419 1495 1134 1085 4308.936987 0.000000 FAILURE 144
111111010 1221 1120 1312 1061 1306 1160  753  789 6711.945387 0.000000 FAILURE 145
111111100 1357 1138 1210 1041 1057 1256  946  927 6401.741059 0.000000 FAILURE 146
111111110 1064  951 1000  875  889 1004  736  763 8404.630627 0.000000 FAILURE 147

